battery,dataset,n,d,labels,k,noise
h2mg,h2mg_1_10,2048,1,labels0,2,0
h2mg,h2mg_1_10,2048,1,labels1,2,0
h2mg,h2mg_1_20,2048,1,labels0,2,0
h2mg,h2mg_1_20,2048,1,labels1,2,0
h2mg,h2mg_1_30,2048,1,labels0,2,0
h2mg,h2mg_1_30,2048,1,labels1,2,0
h2mg,h2mg_1_40,2048,1,labels0,2,0
h2mg,h2mg_1_40,2048,1,labels1,2,0
h2mg,h2mg_1_50,2048,1,labels0,2,0
h2mg,h2mg_1_50,2048,1,labels1,2,0
h2mg,h2mg_1_60,2048,1,labels0,2,0
h2mg,h2mg_1_60,2048,1,labels1,2,0
h2mg,h2mg_1_70,2048,1,labels0,2,0
h2mg,h2mg_1_70,2048,1,labels1,2,0
h2mg,h2mg_1_80,2048,1,labels0,2,0
h2mg,h2mg_1_80,2048,1,labels1,2,0
h2mg,h2mg_1_90,2048,1,labels0,2,0
h2mg,h2mg_1_90,2048,1,labels1,2,0
h2mg,h2mg_2_10,2048,2,labels0,2,0
h2mg,h2mg_2_10,2048,2,labels1,2,0
h2mg,h2mg_2_20,2048,2,labels0,2,0
h2mg,h2mg_2_20,2048,2,labels1,2,0
h2mg,h2mg_2_30,2048,2,labels0,2,0
h2mg,h2mg_2_30,2048,2,labels1,2,0
h2mg,h2mg_2_40,2048,2,labels0,2,0
h2mg,h2mg_2_40,2048,2,labels1,2,0
h2mg,h2mg_2_50,2048,2,labels0,2,0
h2mg,h2mg_2_50,2048,2,labels1,2,0
h2mg,h2mg_2_60,2048,2,labels0,2,0
h2mg,h2mg_2_60,2048,2,labels1,2,0
h2mg,h2mg_2_70,2048,2,labels0,2,0
h2mg,h2mg_2_70,2048,2,labels1,2,0
h2mg,h2mg_2_80,2048,2,labels0,2,0
h2mg,h2mg_2_80,2048,2,labels1,2,0
h2mg,h2mg_2_90,2048,2,labels0,2,0
h2mg,h2mg_2_90,2048,2,labels1,2,0
h2mg,h2mg_4_10,2048,4,labels0,2,0
h2mg,h2mg_4_10,2048,4,labels1,2,0
h2mg,h2mg_4_20,2048,4,labels0,2,0
h2mg,h2mg_4_20,2048,4,labels1,2,0
h2mg,h2mg_4_30,2048,4,labels0,2,0
h2mg,h2mg_4_30,2048,4,labels1,2,0
h2mg,h2mg_4_40,2048,4,labels0,2,0
h2mg,h2mg_4_40,2048,4,labels1,2,0
h2mg,h2mg_4_50,2048,4,labels0,2,0
h2mg,h2mg_4_50,2048,4,labels1,2,0
h2mg,h2mg_4_60,2048,4,labels0,2,0
h2mg,h2mg_4_60,2048,4,labels1,2,0
h2mg,h2mg_4_70,2048,4,labels0,2,0
h2mg,h2mg_4_70,2048,4,labels1,2,0
h2mg,h2mg_4_80,2048,4,labels0,2,0
