battery,dataset,n,d,labels,k,noise
sipu,a1,3000,2,labels0,20,0
sipu,a2,5250,2,labels0,35,0
sipu,a3,7500,2,labels0,50,0
sipu,aggregation,788,2,labels0,7,0
sipu,birch1,100000,2,labels0,100,0
sipu,birch2,100000,2,labels0,100,0
sipu,compound,399,2,labels0,6,0
sipu,compound,399,2,labels1,4,0
sipu,compound,399,2,labels2,5,50
sipu,compound,399,2,labels3,4,50
sipu,compound,399,2,labels4,5,0
sipu,d31,3100,2,labels0,31,0
sipu,flame,240,2,labels0,2,0
sipu,flame,240,2,labels1,2,12
sipu,jain,373,2,labels0,2,0
sipu,pathbased,300,2,labels0,3,0
sipu,pathbased,300,2,labels1,4,0
sipu,r15,600,2,labels0,15,0
sipu,r15,600,2,labels1,9,0
sipu,r15,600,2,labels2,8,0
sipu,s1,5000,2,labels0,15,0
sipu,s2,5000,2,labels0,15,0
sipu,s3,5000,2,labels0,15,0
sipu,s4,5000,2,labels0,15,0
sipu,spiral,312,2,labels0,3,0
sipu,unbalance,6500,2,labels0,8,0
sipu,worms_2,105600,2,labels0,35,0
sipu,worms_64,105000,64,labels0,25,0
